,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000037627,37.473552,27.583482,32.977395,30.762297,30.040811,23.265459,7.508058,30.074103,35.330951,29.078168,30.115007,28.123866,32.095783,40.130516,23.918922,36.166092,18.981168,33.330732,20.579104,14.182973,17.777763,33.205087,33.45294,28.437923
ENSRNOG00000037628,0.298326,0,0,0.231092,0.485276,0.21651,0,0.514177,0,0,0,0,0.684125,0,1.814099,0,0,0,0.213124,0,0,0.213726,0.247626,0
ENSRNOG00000037632,0.331779,0.401374,0.045997,0.042815,0.32229,0.6507,0,0.287323,0.204262,0.287921,0.791301,0.371121,0.565813,0.206502,0.767501,0.208636,0.03484,0.144705,0.335939,0.403305,0.462381,0.267832,0.468381,0.185234
ENSRNOG00000037638,41.715924,47.636987,44.105481,48.459654,28.077405,23.024646,9.561205,46.997607,44.297733,34.231844,42.859896,40.640089,44.27107,36.985942,40.20981,34.564649,26.637838,29.157242,27.715628,10.52326,19.878967,47.287238,29.785286,43.69301
ENSRNOG00000037645,0,0,0,0,0,0,0,0,0,0,0,2.942126,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037647,9.185447,8.41175,5.537627,6.223184,6.605919,3.974812,7.848154,5.46606,7.435719,7.724712,7.23489,8.989574,8.070552,5.6975,6.403601,7.954866,2.842934,4.962345,4.232696,9.09506,6.452784,7.062893,5.283355,7.561348
ENSRNOG00000037655,20.654395,23.832802,14.824371,14.669499,8.771686,9.295117,1.075653,19.991911,22.33918,10.859257,18.96803,19.900232,23.136828,21.541948,16.299329,24.445279,11.608505,14.885363,6.483255,4.075231,3.858968,26.209192,17.57623,23.09005
ENSRNOG00000037658,0.938254,0.272577,0.4988,0.610242,0.12522,0.414462,0,0.975373,1.049517,0.251742,0.535806,0.693895,0.984375,0.960041,0.488325,1.488475,0.350388,0.581666,0.126168,0.445683,0.089785,0.518096,0.603722,0.565425
ENSRNOG00000037659,4.676982,4.967756,4.602778,3.488849,2.564017,2.474708,0.773076,3.358679,7.039711,3.690338,2.857355,3.588124,4.62868,4.261527,4.255149,5.809804,1.655077,1.893033,0.808836,1.92361,1.124044,3.71067,3.471457,3.821448
ENSRNOG00000037661,0,0,0,0,0,0,0,2.058074,1.168162,0.341582,0,3.082431,0.380295,0.976352,0.418135,0,0.393474,0,0,0,1.950776,0.353629,0,0
ENSRNOG00000037668,0,0,0,0.114347,0.061366,0.054248,0,0,0.054775,0,0,0.061834,0.054147,0.069203,0,0.278281,0,0,0.050051,0,0,0.204897,0,0
ENSRNOG00000037672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
