ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
1-linoleoyl-GPS (18:2)*,"2,014,876","2,323,982","2,992,555","2,516,954","4,696,904","4,539,950","2,072,151","5,369,088","1,348,630","2,484,527","1,641,180","1,734,107","1,845,901","2,444,682","3,269,049","2,609,180","6,094,568","3,731,118","1,640,817","2,203,483"
1-linoleoylglycerol (18:2),"71,981,008","75,436,384","28,236,032","31,556,614","18,670,560","22,638,452","21,143,284","49,704,276","7,164,140","66,066,252","44,777,204","88,290,912","9,827,637","29,571,268","23,376,644","63,431,884","21,277,156","41,313,384","48,156,436","31,655,524"
1-methyl-4-imidazoleacetate,"1,190,384","1,862,148","1,120,018","516,961","459,144","2,549,178","601,599","1,298,020","1,079,254","850,533","2,291,240","2,580,060","936,359","861,052","1,275,102","763,601","1,130,948","782,211","565,984","2,491,265"
1-methyl-5-imidazoleacetate,"1,140,051","684,076","1,084,839","1,781,162","849,300","1,276,306","788,454","948,751","914,065","652,190","638,856","638,898","987,494","903,550","1,748,824","1,263,744","802,839","698,569","951,773","798,433"
1-methyladenine,"411,666","295,513","296,918","453,674","142,757","342,600","186,814","318,901","308,970","155,959",,,"251,922","214,715","268,553","358,672","50,313",,"255,453","438,233"
1-methylguanidine,"539,616","372,124","418,112","481,033","388,548","541,384","406,070","274,459","694,381","466,419","322,173","428,528","3,960,490","757,158","3,400,324","680,953","331,190","7,778,260","4,063,374","608,603"
1-methylhistidine,"12,055,052","12,212,603","15,247,618","12,765,355","11,299,784","13,370,905","13,468,055","15,653,330","15,451,211","12,618,416","14,453,602","14,070,220","14,082,570","9,803,853","11,292,293","14,804,556","13,046,362","11,705,809","14,527,572","13,546,060"
1-methylhypoxanthine,"1,023,784","901,885","1,090,529","666,148","786,236","977,238","752,326","795,377","1,089,997","661,300","766,292","1,017,816","1,121,686","757,053","906,868","1,228,340","791,401","929,717","1,051,062","911,362"
1-methylnicotinamide,"4,749,564","8,239,340","3,608,643","4,649,625","7,943,445","4,973,403","8,143,089","7,027,543","8,178,023","3,097,298","10,464,734","10,064,784","11,665,881","12,642,634","13,715,642","11,943,831","13,557,211","12,885,833","6,485,936","9,825,649"
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,"4,341,645","5,007,374","3,610,731","5,103,741","4,649,331","4,725,293","3,249,449","3,953,167","3,860,902","5,837,247","5,435,497","5,849,216","2,519,456","4,508,554","5,353,016","5,128,998","5,922,590","7,117,201","4,704,922","4,881,950"
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),"2,750,468","3,328,598","2,613,940","4,505,685","4,399,293","3,518,221","2,323,460","2,846,278","4,351,226","3,252,393","2,243,575","2,663,635","1,285,497","2,552,645","3,267,743","2,730,809","2,675,468","3,200,096","2,689,775","3,074,776"
1-myristoylglycerol (14:0),"1,803,831","1,743,062","873,024","826,702","838,271","782,019","639,253","963,694","1,848,064","1,781,196","1,444,446","2,167,503","857,631","912,500","742,474","2,041,044","564,296","1,303,514","1,104,106","891,927"
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,"1,103,217","1,529,288","1,024,313","1,620,907","681,042","1,062,655","1,137,295","905,483","1,032,293","1,013,267","973,434","742,463","275,725","950,349","904,404","1,123,192","826,127","1,018,177","610,595","1,211,537"
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,"28,038,054","51,502,964","31,391,008","32,279,524","30,501,492","27,976,382","19,578,836","23,459,506","16,333,522","29,291,800","38,378,864","63,183,572","32,654,600","36,543,208","27,650,480","48,461,528","26,932,112","36,364,960","33,580,936","32,576,112"
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,"75,101,064","78,430,824","49,610,320","74,471,112","65,407,080","80,424,712","49,094,212","51,125,252","45,848,864","60,857,400","63,040,324","81,630,984","51,671,768","60,632,512","66,479,156","65,836,512","45,156,396","70,457,200","51,265,864","68,978,880"
1-oleoyl-GPC (18:1),"158,919,520","203,547,792","145,039,344","161,558,800","159,062,624","150,861,088","141,725,856","124,868,920","153,910,720","163,888,512","175,743,040","191,731,824","130,075,176","137,085,856","139,686,288","140,910,800","130,223,392","168,662,080","131,109,568","153,950,336"
1-oleoyl-GPE (18:1),"2,182,010","2,005,456","1,801,471","2,235,390","1,779,558","2,056,216","1,548,163","1,586,773","1,442,891","2,177,689","2,050,473","1,615,150","836,893","1,923,605","1,806,807","1,804,207","1,746,674","2,013,861","1,500,804","2,099,107"
1-oleoyl-GPI (18:1),"1,532,735","1,593,989","1,005,012","1,765,796","1,856,577","1,971,711","821,402","572,375","1,175,476","1,224,757","1,505,198","2,278,629",,"1,051,304","1,017,550","1,116,290","773,539","1,228,746","943,508","823,238"
1-oleoyl-GPS (18:1),"2,018,561","3,219,948","3,724,745","2,693,970","4,422,068","5,164,224","2,191,597","5,535,097","1,296,628","2,547,970","1,944,722","1,806,507","1,731,492","2,727,261","2,695,001","3,866,213","5,256,038","3,935,547","1,403,310","2,603,327"
1-oleoylglycerol (18:1),"279,276,416","257,969,936","145,910,160","130,860,848","168,066,640","123,364,576","55,724,200","216,890,528","258,918,288","237,688,640","202,110,560","312,832,512","148,828,960","185,964,672","158,293,152","299,994,656","142,906,496","156,712,416","198,494,416","123,957,616"
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,"35,296,568","43,336,432","20,384,660","34,834,288","28,894,740","37,400,476","26,995,820","21,936,278","25,444,180","26,663,392","29,877,836","37,164,584","15,360,673","30,755,346","36,409,648","32,460,832","27,597,522","43,213,476","26,267,408","34,461,248"
1-palmitoleoyl-GPC (16:1)*,"32,611,742","37,193,036","21,886,958","30,633,318","28,733,022","24,918,262","21,519,108","19,080,004","28,197,618","27,218,134","31,004,602","28,863,360","22,332,676","21,266,636","22,128,712","27,586,780","22,760,782","30,933,026","18,950,478","27,814,452"
1-palmitoleoylglycerol (16:1)*,"12,150,562","13,086,693","2,945,429","4,596,963","2,861,241","2,645,944","2,414,246","4,143,103","1,112,841","8,671,125","8,041,906","10,561,789","1,008,304","3,452,862","2,004,450","13,529,145","1,707,711","4,927,123","4,121,140","4,637,867"
